담당,범위,id,chair,sentence,조,A_라벨,B_라벨,현재_final,final_출처,확정,사유
최인영,1-75,2013-12-18_presconf#241,Bernanke,"I’ve testified many times, as have a number of my colleagues.",배재원/최인영,0(중립),1(긍정),0(중립),A일치,,
최인영,1-75,2012-01-25_presconf#162,Bernanke,"So we did discuss refinancing, we did discuss principal forgiveness.",배재원/최인영,0(중립),1(긍정),0(중립),A일치,,
최인영,1-75,2020-09-16_presconf#293,Powell,"Well, no, I wouldn’t- I certainly would not say that we’re out of ammo.",배재원/최인영,1(긍정),2(부정),0(중립),제3값,,
최인영,1-75,2026-06-17_presconf#33,Warsh,"For each of these independent task forces, I’m enlisting some of the very best minds-both inside and outside the economics profession.",배재원/최인영,0(중립),1(긍정),0(중립),A일치,,
최인영,1-75,2024-09-18_presconf#26,Powell,"The median projection in the SEP for total PCE inflation is 2.3 percent this year and 2.1 percent next year, somewhat lower than projected in June.",배재원/최인영,1(긍정),2(부정),0(중립),제3값,,
최인영,1-75,2012-01-25_presconf#59,Bernanke,The remaining six participants judge that policy liftoff would be appropriate in 2012 or 2013.,배재원/최인영,0(중립),1(긍정),0(중립),A일치,,
최인영,1-75,2021-07-28_presconf#410,Powell,"Given the very large number of job openings and the very large number of unemployed people, we’d like to see, you know, those- some matching going on there so people get back to work.",배재원/최인영,1(긍정),2(부정),0(중립),제3값,,
최인영,1-75,2020-01-29_presconf#203,Powell,And financial markets-the reaction of financial markets is very consistent with that perception.,배재원/최인영,0(중립),1(긍정),0(중립),A일치,,
최인영,1-75,2026-06-17_presconf#245,Warsh,"And the institution will come to press conferences like this always with an impetus to reform, always with an impetus to, to do better.",배재원/최인영,0(중립),1(긍정),0(중립),A일치,,
김형준,1-75,2015-09-17_presconf#149,Yellen,"Of course, there will be uncertainty around it and whether or not we have reasonable confidence that inflation, will, over the medium term, go back to 2 percent.",배재원/최인영,2(부정),0(중립),0(중립),B일치,,
김형준,1-75,2011-04-27_presconf#118,Bernanke,"It accounts in the short run for the increase in our-pretty much almost all of the increase in our inflation forecast, at least in the very near term.",배재원/최인영,0(중립),1(긍정),0(중립),A일치,,
김형준,1-75,2021-06-16_presconf#13,Powell,"As with overall economic activity, conditions in the labor market have continued to improve, although the pace of improvement has been uneven.",배재원/최인영,2(부정),1(긍정),1(긍정),B일치,,
김형준,1-75,2022-03-16_presconf#101,Powell,But we do know that we’re going to deploy our tools to achieve our goals-and that includes the price -stability goal.,배재원/최인영,0(중립),1(긍정),0(중립),A일치,,
김형준,1-75,2014-12-17_presconf#221,Yellen,"So it’s not a major concern that there are levered entities that would be badly affected by this, but we’ll have to watch carefully.",배재원/최인영,2(부정),0(중립),0(중립),B일치,,
김형준,1-75,2015-12-16_presconf#263,Yellen,"We understand that in the global economy, with integrated product and capital markets, that our fates are very much linked, and that the performance of the I’m sorry, what?",배재원/최인영,0(중립),2(부정),0(중립),A일치,,
김형준,1-75,2013-06-19_presconf#149,Bernanke,"If that doesn’t happen, we will obviously have to take some measures to address that.",배재원/최인영,0(중립),2(부정),0(중립),A일치,,
김형준,1-75,2023-11-01_presconf#191,Powell,"In principle, when things change, it’s not-that ’s not, like, planned that anybody’s agreed to or that we will do.",배재원/최인영,0(중립),2(부정),0(중립),A일치,,
김형준,1-75,2020-07-29_presconf#340,Powell,We’re going to have to-the data over the next couple of months will answer that question.,배재원/최인영,0(중립),1(긍정),0(중립),A일치,,
김형준,1-75,2025-12-10_presconf#304,Powell,"But-and that ’s just- I don’t- again, I think forecasters generally understand that.",배재원/최인영,0(중립),2(부정),0(중립),A일치,,
김형준,1-75,2013-06-19_presconf#18,Bernanke,"As part of prudent planning, we have been reviewing these principles in recent meetings.",배재원/최인영,0(중립),1(긍정),0(중립),A일치,,
김형준,76-150,2017-12-13_presconf#78,Yellen,"In terms of aggregate supply effects, a stronger pace of investment could boost capital formation and thereby raise productivity growth and potential GDP or output to some extent.",김형준/지현민,1(긍정),0(중립),1(긍정),A일치,,
김형준,76-150,2013-06-19_presconf#199,Bernanke,"So, you know, if the market was really breaking down in some way that would be a factor we’d have to take into account.",김형준/지현민,0(중립),2(부정),0(중립),A일치,,
지현민,76-150,2022-07-27_presconf#346,Powell,"And, you know, our view was that these supply-side issues would get better: that people would go back to work, that labor force participation would come back, everyone would get vaccinated, schools would open, kids would be in school, and labor force participation would jump back up.",김형준/지현민,0(중립),1(긍정),0(중립),A일치,,
지현민,76-150,2016-06-15_presconf#33,Yellen,"However, we can’t take the stability of longer- run inflation expectations for granted.",김형준/지현민,2(부정),0(중립),2(부정),A일치,,
지현민,76-150,2016-06-15_presconf#191,Yellen,"But, you know, if it were to happen, we would have an economy that would be doing very well.",김형준/지현민,0(중립),1(긍정),0(중립),A일치,,
지현민,76-150,2019-03-20_presconf#237,Powell,"So that’s a pretty good-you know, having done that for a number of years now, that’s-and having them be required to have adequate capital and liquidity even after all that happens.",김형준/지현민,0(중립),1(긍정),0(중립),A일치,,
지현민,76-150,2020-03-15_presconf#96,Powell,"But this is a multifaceted problem, and it requires answers from different parts of the government and society.",김형준/지현민,0(중립),2(부정),0(중립),A일치,,
지현민,76-150,2022-01-26_presconf#32,Powell,"We understand that high inflation imposes significant hardship, especially on those least able to meet the higher costs of essentials like food, housing, and transportation.",김형준/지현민,2(부정),0(중립),2(부정),A일치,,
지현민,76-150,2021-06-16_presconf#70,Powell,"There are very large amounts of job openings, and there are a very large number of people who, who are unemployed.",김형준/지현민,0(중립),2(부정),0(중립),A일치,,
지현민,76-150,2026-06-17_presconf#77,Warsh,"The good news is, we’ll be meeting in six weeks.",김형준/지현민,1(긍정),0(중립),0(중립),B일치,,
지현민,76-150,2013-03-20_presconf#264,Bernanke,"Well, you’re absolutely right that there’s been a certain tendency for a spring slump that we’ve seen a few times.",김형준/지현민,2(부정),0(중립),0(중립),B일치,,
지현민,76-150,2013-03-20_presconf#75,Bernanke,"The last five months, for example, we’ve seen over 200,000 jobs a month in the private sector.",김형준/지현민,1(긍정),0(중립),1(긍정),A일치,,
지현민,76-150,2017-12-13_presconf#98,Yellen,"And it is a great field, and I would like to encourage greater involvement and think that people will find that satisfying.",김형준/지현민,1(긍정),0(중립),0(중립),B일치,,
지현민,76-150,2022-05-04_presconf#148,Powell,"And, you know, that’s one of the reasons we would tend to focus on that, because we can have more of an effect on that, but it would be a very difficult situation.",김형준/지현민,2(부정),0(중립),2(부정),A일치,,
